DeviceEUI,EarTag,SoundEnabled,ShockEnabled,SynchronizationState,TrackingState,ManagementState,ProtocolVersion,HerdName,Latitude,Longitude,LocationTime
00007cf2dd1fd3b2,5697,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.7617327,-110.8461797,"20/10/2023  10:47:53"
00007cf2dd1fd4bc,RA2,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7734278,-110.86127859999999,"20/10/2023  10:46:03"
00007cf2dd1fd5ab,D3,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7852218,-110.8494053,"20/10/2023  10:28:43"
00007cf2dd1fd5b2,5861,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.7802118,-110.93481589999999,"20/10/2023  09:13:33"
00007cf2dd1fd5c2,5632,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761747099999997,-110.84613759999999,"20/10/2023  10:34:23"
00007cf2dd1fd5d5,G89,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.790370499999998,-110.85353289999999,"20/10/2023  06:58:04"
00007cf2dd1fd659,,false,false,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.879545,-110.8696289,"20/10/2023  04:56:53"
00007cf2dd1fd66b,5773,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761778099999997,-110.8461773,"20/10/2023  10:36:43"
00007cf2dd1fd687,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761800599999997,-110.8461928,"20/10/2023  10:29:01"
00007cf2dd1fd6bb,961,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.7618127,-110.846235,"20/10/2023  10:41:43"
00007cf2dd1fe42d,G59,true,true,EQUALS,VENCE_ENABLED,MANAGED,VERSION_3,"SH No Movements",31.8054997,-110.8442603,"19/10/2023  21:41:13"
00007cf2dd1fe44b,5729,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8710936,-110.85234729999999,"20/10/2023  06:57:43"
00007cf2dd1fe467,G63,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.8006805,-110.8446032,"20/10/2023  10:48:13"
00007cf2dd1fe476,F117,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761792,-110.84600669999999,"20/10/2023  10:21:03"
00007cf2dd1fe48d,5694,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.8135232,-110.876877,"20/10/2023  05:06:13"
00007cf2dd1fe515,G50,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8792431,-110.8391391,"20/10/2023  03:14:13"
00007cf2dd1fe6ef,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.820878099999998,-110.9483406,"20/10/2023  10:22:03"
00007cf2dd1fe8c2,G32,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.8100402,-110.84497669999999,"20/10/2023  06:06:02"
00007cf2dd1fe8d2,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761719799999998,-110.84618289999999,"20/10/2023  10:36:43"
00007cf2dd1fe922,H15,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.840519399999998,-110.8462496,"20/10/2023  10:45:34"
00007cf2dd1fe924,E55,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.784808199999997,-110.8525549,"20/10/2023  10:47:23"
00007cf2dd1fe961,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.773449499999998,-110.97306169999999,"20/10/2023  10:48:14"
00007cf2dd1fe96f,5613,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.7617309,-110.8461985,"20/10/2023  10:24:44"
00007cf2dd1fe97b,E47,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7774404,-110.82826179999999,"20/10/2023  10:33:43"
00007cf2dd1fe99a,5854,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.7617932,-110.8462301,"20/10/2023  10:26:03"
00007cf2dd1fe9d7,F100,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.784327899999997,-110.8282263,"20/10/2023  09:45:53"
00007cf2dd1fe9e0,F116,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7813745,-110.85583919999999,"20/10/2023  10:20:13"
00007cf2dd1fea1e,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7998715,-110.84702569999999,"20/10/2023  09:33:53"
00007cf2dd1fea6d,G74,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.8078227,-110.83388269999999,"20/10/2023  09:44:46"
00007cf2dd1fea7f,19,true,true,ERROR,VENCE_ENABLED,MANAGED,VERSION_3,"SH No Movements",31.804277499999998,-110.8435719,"20/10/2023  04:42:43"
00007cf2dd1fea88,Y117,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.781699099999997,-110.82607589999999,"20/10/2023  10:14:53"
00007cf2dd1feab2,E78,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8084456,-110.88648699999999,"20/10/2023  10:23:04"
00007cf2dd1feabd,5840,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761702099999997,-110.84629559999999,"20/10/2023  10:30:33"
00007cf2dd1fead9,E79,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.788996899999997,-110.83701649999999,"20/10/2023  10:49:33"
00007cf2dd1fed73,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7681531,-110.87849899999999,"20/10/2023  08:40:43"
00007cf2dd1fed74,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8730984,-110.82833839999999,"20/10/2023  09:54:03"
00007cf2dd1fedd1,,false,false,ERROR,VENCE_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.773595699999998,-110.8778289,"20/10/2023  04:15:24"
00007cf2dd1feded,,true,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.773222599999997,-110.8785396,"20/10/2023  10:42:34"
00007cf2dd1fef02,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.762241999999997,-110.85936889999999,"20/10/2023  10:40:53"
00007cf2dd1fef09,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.809503399999997,-110.8450994,"20/10/2023  10:14:34"
00007cf2dd1fef1d,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.8095008,-110.82799469999999,"20/10/2023  10:22:34"
00007cf2dd1fef36,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.772072599999998,-110.8553197,"20/10/2023  10:44:33"
00007cf2dd1fef4a,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.769722599999998,-110.85679329999999,"20/10/2023  10:24:33"
00007cf2dd1fef5b,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.8150776,-110.8413592,"20/10/2023  10:01:04"
00007cf2dd1fef5d,,true,true,ERROR,VENCE_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.775679699999998,-110.8799911,"20/10/2023  10:27:43"
00007cf2dd1fef75,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.768900199999997,-110.85466249999999,"20/10/2023  10:20:24"
00007cf2dd1ff27a,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7667373,-110.8775186,"20/10/2023  09:28:36"
00007cf2dd1ff819,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8506337,-110.8484945,"20/10/2023  10:20:43"
00007cf2dd1ff833,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8649712,-110.843521,"20/10/2023  10:30:44"
00007cf2dd1ffa8c,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.862309399999997,-110.8628851,"20/10/2023  10:48:43"
00007cf2dd1ffab4,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.887526599999998,-110.84656749999999,"19/10/2023  20:57:53"
00007cf2dd1ffab5,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.840142,-110.85574469999999,"20/10/2023  09:58:36"
00007cf2dd2004c9,,true,true,EQUALS,VENCE_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.854878799999998,-110.8399658,"20/10/2023  10:01:23"
00007cf2dd201634,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.76177,-110.8460839,"20/10/2023  10:34:13"
00007cf2dd20164d,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8081385,-110.90107049999999,"20/10/2023  09:57:53"
00007cf2dd20164f,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.855181499999997,-110.82839639999999,"20/10/2023  08:49:23"
00007cf2dd20165c,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.851844,-110.9129421,"20/10/2023  03:33:14"
00007cf2dd20166e,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.833288699999997,-110.859043,"20/10/2023  09:39:54"
00007cf2dd201684,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8593636,-110.84024129999999,"20/10/2023  10:35:34"
00007cf2dd20168c,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8730095,-110.849418,"20/10/2023  08:51:43"
00007cf2dd2016cf,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.862103299999998,-110.84612249999999,"20/10/2023  10:36:04"
00007cf2dd20170b,,false,false,ERROR,VENCE_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8195542,-110.87652879999999,"20/10/2023  10:40:04"
00007cf2dd20170d,,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8563394,-110.90531539999999,"20/10/2023  09:03:43"
00007cf2dd201762,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8704683,-110.8668623,"20/10/2023  10:25:16"
00007cf2dd20176a,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8410841,-110.84874099999999,"20/10/2023  10:29:13"
00007cf2dd201799,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8650161,-110.8396856,"20/10/2023  10:49:33"
00007cf2dd2017a0,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.830516499999998,-110.89519879999999,"20/10/2023  08:07:03"
00007cf2dd2017bc,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.846832799999998,-110.8361202,"20/10/2023  10:43:23"
00007cf2dd2017e4,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8911347,-110.85853039999999,"20/10/2023  10:34:04"
00007cf2dd2017fc,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.843000699999997,-110.8306157,"20/10/2023  10:16:04"
00007cf2dd201805,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8744655,-110.8513005,"20/10/2023  06:48:36"
00007cf2dd201818,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.761647399999998,-110.8463204,"20/10/2023  10:41:13"
00007cf2dd201822,,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.868783899999997,-110.8968519,"20/10/2023  10:05:23"
00007cf2dd201824,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8726822,-110.84189699999999,"20/10/2023  09:45:03"
00007cf2dd201838,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.865024299999998,-110.8415301,"20/10/2023  09:54:06"
00007cf2dd201850,,false,false,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.842829,-110.84861989999999,"20/10/2023  10:13:06"
00007cf2dd201855,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8873048,-110.8747494,"20/10/2023  10:05:31"
00007cf2dd20195d,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8691374,-110.8605485,"20/10/2023  10:17:43"
00007cf2dd201b0b,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.901392299999998,-110.88730079999999,"20/10/2023  08:18:03"
00007cf2dd201c4a,,true,true,ERROR,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.7618232,-110.8461461,"20/10/2023  10:34:03"
00007cf2dd201d0d,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8669238,-110.84594279999999,"20/10/2023  10:38:23"
00007cf2dd202f7d,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.899385499999998,-110.8859844,"20/10/2023  10:38:53"
00007cf2dd202fcf,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7787303,-110.8555288,"20/10/2023  10:31:03"
00007cf2dd20325a,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.7664795,-110.8431712,"20/10/2023  05:08:34"
00007cf2dd2032dc,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"SH No Movements",31.812876699999997,-110.8520978,"20/10/2023  09:55:13"
00007cf2dd203337,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.848034199999997,-110.8508473,"20/10/2023  10:22:54"
00007cf2dd203357,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.83666,-110.86044369999999,"20/10/2023  10:25:53"
00007cf2dd20338b,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.839611299999998,-110.8702581,"20/10/2023  04:56:01"
00007cf2dd2033b6,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8652816,-110.83000489999999,"20/10/2023  10:11:53"
00007cf2dd20344b,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.8568505,-110.8710218,"19/10/2023  19:31:34"
00007cf2dd203467,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.866365499999997,-110.844315,"20/10/2023  10:36:04"
00007cf2dd203540,,true,true,EQUALS,BASIC_TRACKING,MANAGED,VERSION_3,"LH No Movements",31.844817199999998,-110.825875,"20/10/2023  10:44:03"